,gene_name,Bcells replicate 1 half_life,Bcells replicate 1 dataQual,Bcells replicate 1 R_sq,Bcells replicate 2 half_life,Bcells replicate 2 dataQual,Bcells replicate 2 R_sq,NK cells replicate 1 half_life,NK cells replicate 1 dataQual,NK cells replicate 1 R_sq,NK cells replicate 2 half_life,NK cells replicate 2 dataQual,NK cells replicate 2 R_sq,Hepatocytes replicate 1 half_life,Hepatocytes replicate 1 dataQual,Hepatocytes replicate 1 R_sq,Hepatocytes replicate 2 half_life,Hepatocytes replicate 2 dataQual,Hepatocytes replicate 2 R_sq,Monocytes replicate 1 half_life,Monocytes replicate 1 dataQual,Monocytes replicate 1 R_sq,Monocytes replicate 2 half_life,Monocytes replicate 2 dataQual,Monocytes replicate 2 R_sq,"Mouse Neurons, replicate 3 half_life","Mouse Neurons, replicate 3 dataQual","Mouse Neurons, replicate 3 R_sq","Mouse Neurons, replicate 4 half_life","Mouse Neurons, replicate 4 dataQual","Mouse Neurons, replicate 4 R_sq",Bcell_mean,NKcell_mean,Hepatocytes_mean,Monocytes_mean,MouseNeuorons_mean,Max_halflife
3287,PCNP,97.655,good,0.995,113.895,good,0.998,278.536,good,0.991,238.613,good,0.995,87.162,weak,0.953,62.431000000000004,good,0.985,83.131,good,0.993,79.313,good,0.9840000000000001,43.364,good,0.995,38.076,weak,0.998,105.775,258.5745,74.79650000000001,81.22200000000001,40.72,258.5745
3288,PCNT,,,,47.169,good,0.9940000000000001,105.271,weak,0.9520000000000001,80.574,weak,0.937,31.803,weak,0.97,64.212,good,0.905,44.839,weak,0.983,33.366,weak,0.8959999999999999,,,,40.111999999999995,weak,0.972,47.169,92.9225,48.0075,39.1025,40.111999999999995,92.9225
3289,PCYOX1,318.999,weak,0.981,341.969,good,0.9990000000000001,245.76,weak,0.9670000000000001,290.351,weak,0.986,,,,193.188,good,0.995,,,,96.228,weak,0.991,77.577,good,1.0,88.09899999999999,good,0.9990000000000001,330.48400000000004,268.0555,193.188,96.228,82.838,330.48400000000004
3290,PCYOX1L,443.69199999999995,weak,0.95,,,,881.3660000000001,weak,0.914,,,,,,,,,,,,,408.13,weak,0.971,84.833,good,0.998,98.55,good,0.9990000000000001,443.69199999999995,881.3660000000001,,408.13,91.69149999999999,881.3660000000001
3291,PCYT1A,,,,109.11,good,0.985,294.504,good,0.9420000000000001,176.753,good,0.8809999999999999,23.62,good,0.956,,,,67.045,good,0.981,46.263000000000005,good,0.963,,,,57.373999999999995,weak,0.912,109.11,235.6285,23.62,56.654,57.373999999999995,235.6285
3292,PCYT2,95.531,weak,0.902,125.331,good,0.9590000000000001,,,,181.585,weak,0.888,,,,,,,149.894,weak,0.981,,,,,,,62.812,good,0.998,110.43100000000001,181.585,,149.894,62.812,181.585
3293,PDAP1,67.811,good,0.99,97.669,good,0.998,296.475,good,0.972,243.303,good,0.9990000000000001,47.879,weak,0.9540000000000001,,,,79.979,weak,0.991,65.814,weak,0.991,46.136,good,0.9990000000000001,59.446999999999996,good,0.9990000000000001,82.74000000000001,269.889,47.879,72.8965,52.7915,269.889
3294,PDCD10,173.75900000000001,good,0.986,175.524,good,0.99,344.02,good,0.914,273.586,good,0.995,37.413000000000004,weak,0.903,136.028,weak,0.934,113.851,weak,0.985,86.309,weak,0.987,41.077,good,0.998,44.562,good,0.995,174.6415,308.803,86.7205,100.08,42.8195,308.803
3295,PDCD11,42.138000000000005,good,0.97,52.093,good,0.996,,,,138.998,good,0.991,53.504,good,0.985,48.545,good,0.987,42.156000000000006,weak,0.993,27.206,weak,0.9940000000000001,39.676,good,0.9990000000000001,43.482,good,0.992,47.115500000000004,138.998,51.0245,34.681000000000004,41.579,138.998
3296,PDCD4,67.88,good,0.991,58.458,good,1.0,70.125,good,0.997,76.679,good,0.99,,,,37.743,weak,0.9209999999999999,60.286,good,0.992,53.86,good,0.9840000000000001,20.017,weak,0.9470000000000001,21.796999999999997,weak,0.9059999999999999,63.169,73.402,37.743,57.073,20.906999999999996,73.402
3297,PDCD5,48.983999999999995,good,0.925,69.812,good,0.996,237.828,good,0.998,213.601,good,0.998,58.056000000000004,weak,0.996,46.428000000000004,weak,0.995,56.445,weak,0.98,48.696000000000005,good,0.97,40.035,good,0.998,46.723,good,1.0,59.397999999999996,225.7145,52.242000000000004,52.5705,43.379,225.7145
3298,PDCD6,129.28799999999998,good,0.986,,,,,,,,,,155.887,good,0.9540000000000001,147.631,weak,0.983,92.10700000000001,good,0.996,66.167,good,0.992,62.456,weak,0.992,73.74600000000001,good,1.0,129.28799999999998,,151.75900000000001,79.137,68.101,151.75900000000001
3299,PDCD6IP,101.73200000000001,good,0.99,120.32700000000001,good,0.998,252.595,good,0.998,195.37599999999998,good,0.9990000000000001,106.726,good,0.9990000000000001,115.57,good,0.993,77.76100000000001,good,0.991,61.743,good,0.9890000000000001,57.982,good,0.9990000000000001,64.953,good,0.9990000000000001,111.02950000000001,223.9855,111.148,69.75200000000001,61.4675,223.9855
3300,PDCD7,,,,46.216,weak,0.9840000000000001,,,,,,,,,,,,,,,,,,,,,,,,,46.216,,,,,46.216
3301,PDCL,,,,16.933,weak,0.99,,,,,,,,,,,,,22.249000000000002,weak,0.991,14.862,weak,0.982,27.778000000000002,weak,0.9470000000000001,24.456,good,0.995,16.933,,,18.555500000000002,26.117,26.117
3302,PDCL3,,,,43.19,weak,0.9940000000000001,,,,,,,,,,,,,,,,,,,23.583000000000002,weak,0.971,29.49,weak,0.986,43.19,,,,26.5365,43.19
3303,PDDC1,,,,151.709,weak,0.917,,,,162.306,weak,0.927,48.027,weak,0.856,51.95399999999999,weak,0.922,,,,98.65100000000001,weak,0.9359999999999999,62.098,good,0.97,83.376,good,0.9990000000000001,151.709,162.306,49.9905,98.65100000000001,72.737,162.306
3304,PDE12,69.678,good,0.978,85.96,good,0.998,210.636,weak,0.9329999999999999,169.93,weak,1.0,66.518,good,0.934,70.505,good,0.915,53.917,weak,0.99,43.559,good,0.993,50.386,good,0.998,56.549,good,0.995,77.81899999999999,190.28300000000002,68.5115,48.738,53.4675,190.28300000000002
3305,PDE4DIP,,,,,,,,,,,,,31.576999999999998,weak,0.99,,,,13.582,weak,0.98,23.651999999999997,good,0.986,21.09,good,0.991,21.135,good,0.9890000000000001,,,31.576999999999998,18.616999999999997,21.1125,31.576999999999998
3306,PDE6D,,,,64.089,weak,0.995,,,,,,,,,,,,,,,,45.443999999999996,weak,0.9790000000000001,20.689,weak,0.975,43.645,good,1.0,64.089,,,45.443999999999996,32.167,64.089
3307,PDF,,,,,,,,,,,,,,,,49.559,weak,0.9229999999999999,,,,,,,,,,,,,,,49.559,,,49.559
3308,PDHA1,160.763,good,0.9640000000000001,213.733,good,0.99,,,,,,,70.816,good,0.987,76.95,good,0.998,,,,109.025,good,0.986,59.435,good,0.9990000000000001,67.523,good,0.998,187.248,,73.88300000000001,109.025,63.479,187.248
3309,PDHB,165.782,good,0.9740000000000001,227.084,good,0.997,384.532,good,0.9790000000000001,452.17400000000004,good,0.996,67.992,good,0.997,69.194,good,0.995,117.319,good,0.978,108.654,good,0.987,69.292,good,0.998,83.508,good,0.9990000000000001,196.433,418.353,68.593,112.9865,76.4,418.353
3310,PDHX,363.19,weak,0.973,353.631,good,0.992,790.459,weak,0.951,,,,153.899,good,0.991,160.80700000000002,good,0.9990000000000001,181.363,weak,0.9690000000000001,111.43799999999999,weak,0.965,55.065,good,0.992,64.916,good,0.992,358.41049999999996,790.459,157.353,146.4005,59.9905,790.459
3311,PDIA3,182.67700000000002,good,0.99,190.674,good,0.9940000000000001,573.146,good,0.9990000000000001,373.87699999999995,good,1.0,222.76,good,1.0,208.628,good,0.996,93.915,good,0.991,70.47,good,0.9840000000000001,76.782,good,0.997,92.993,good,0.997,186.6755,473.51149999999996,215.694,82.1925,84.88749999999999,473.51149999999996
3312,PDIA4,161.07,good,0.9940000000000001,160.031,good,0.9990000000000001,418.721,good,0.998,250.033,good,0.998,352.76800000000003,good,0.9890000000000001,334.218,good,0.985,105.057,good,0.9890000000000001,77.661,good,0.97,105.936,good,0.9990000000000001,142.238,good,0.997,160.5505,334.377,343.49300000000005,91.35900000000001,124.087,343.49300000000005
3313,PDIA5,,,,165.293,weak,0.934,,,,,,,247.765,good,0.988,225.138,good,0.9940000000000001,262.916,weak,0.968,215.514,good,0.96,,,,194.984,weak,0.961,165.293,,236.4515,239.215,194.984,239.215
3314,PDIA6,104.01100000000001,good,0.99,106.458,good,0.9940000000000001,514.467,good,0.99,266.918,good,0.992,166.852,good,0.997,148.125,good,0.9990000000000001,89.691,good,0.986,68.002,good,0.973,83.156,good,0.997,101.084,good,0.998,105.2345,390.6925,157.4885,78.84649999999999,92.12,390.6925
3315,PDK1,139.028,weak,0.9329999999999999,171.361,weak,0.907,,,,,,,,,,,,,242.364,weak,0.94,113.30799999999999,weak,0.96,42.232,weak,0.99,54.673,good,0.9990000000000001,155.1945,,,177.836,48.4525,177.836
3316,PDK2,55.525,weak,0.976,,,,,,,,,,24.273000000000003,weak,0.9440000000000001,37.893,weak,0.998,52.42,weak,0.934,,,,27.393,weak,1.0,37.469,weak,0.998,55.525,,31.083000000000002,52.42,32.431,55.525
3317,PDK3,138.175,weak,0.997,,,,161.65200000000002,weak,0.9390000000000001,137.784,good,0.966,50.272,weak,0.9840000000000001,,,,122.74,weak,0.941,,,,61.91,weak,0.958,77.61399999999999,weak,0.988,138.175,149.71800000000002,50.272,122.74,69.762,149.71800000000002
3318,PDLIM1,117.656,good,0.977,151.497,good,0.9940000000000001,452.108,weak,0.914,425.94699999999995,weak,0.973,65.893,good,0.9990000000000001,63.372,good,0.998,,,,,,,,,,85.38799999999999,weak,0.878,134.5765,439.0275,64.6325,,85.38799999999999,439.0275
3319,PDLIM2,,,,171.646,weak,0.995,,,,176.222,good,0.945,124.54,weak,0.995,,,,,,,104.969,weak,0.9740000000000001,,,,,,,171.646,176.222,124.54,104.969,,176.222
3320,PDLIM5,74.78,weak,0.96,72.942,good,0.998,,,,170.951,good,0.998,70.156,good,0.997,70.109,good,0.997,72.539,good,0.973,46.64,good,0.993,43.1,good,0.997,65.14699999999999,good,0.983,73.86099999999999,170.951,70.1325,59.5895,54.12349999999999,170.951
3321,PDLIM7,57.988,weak,0.977,,,,,,,,,,53.943000000000005,weak,1.0,44.717,weak,0.988,130.849,good,0.861,81.816,good,0.973,,,,,,,57.988,,49.33,106.3325,,106.3325
3322,PDP1,324.155,weak,0.985,250.639,weak,0.9229999999999999,,,,,,,,,,,,,102.491,weak,0.995,85.90299999999999,good,0.992,48.231,good,0.9990000000000001,48.879,good,0.998,287.397,,,94.197,48.555,287.397
3323,PDPK1,37.606,good,0.9990000000000001,,,,,,,69.938,weak,1.0,,,,,,,,,,,,,35.116,weak,0.99,35.629,good,0.998,37.606,69.938,,,35.3725,69.938
3324,PDPR,,,,321.163,good,0.917,315.066,weak,0.9690000000000001,267.737,weak,0.991,,,,66.367,weak,0.993,,,,,,,54.622,good,0.996,62.543,good,0.9990000000000001,321.163,291.4015,66.367,,58.582499999999996,321.163
3325,PDRG1,,,,49.597,weak,0.991,,,,,,,,,,,,,,,,,,,,,,,,,49.597,,,,,49.597
3326,PDS5A,70.62100000000001,good,0.978,82.212,good,0.996,215.482,good,0.99,172.979,good,0.997,24.208000000000002,good,0.997,22.878,good,0.991,71.248,good,0.983,61.306999999999995,good,0.988,38.038000000000004,good,0.9790000000000001,40.438,good,0.995,76.41650000000001,194.2305,23.543,66.2775,39.238,194.2305
3327,PDS5B,199.528,good,0.99,199.447,good,0.997,348.586,good,0.992,327.45099999999996,good,0.9840000000000001,46.162,good,0.998,49.493,good,0.988,153.345,weak,0.982,131.234,good,0.995,35.721,good,0.9790000000000001,39.711,good,0.99,199.4875,338.0185,47.8275,142.2895,37.715999999999994,338.0185
3328,PDSS2,,,,,,,,,,,,,41.841,good,0.983,40.47,weak,0.977,,,,,,,,,,,,,,,41.1555,,,41.1555
3329,PDXDC1,20.042,good,0.995,26.041999999999998,weak,1.0,,,,43.24,weak,0.993,51.68899999999999,weak,0.991,51.445,weak,0.9990000000000001,30.149,good,0.993,26.624000000000002,good,0.9940000000000001,47.391000000000005,good,0.9990000000000001,52.023999999999994,good,0.9990000000000001,23.042,43.24,51.56699999999999,28.3865,49.707499999999996,51.56699999999999
3330,PDXK,148.575,good,0.991,196.60299999999998,good,0.9940000000000001,611.54,good,0.914,293.02,weak,0.995,,,,,,,60.873000000000005,good,0.9840000000000001,59.332,good,0.991,55.088,good,0.998,62.516999999999996,good,0.997,172.589,452.28,,60.102500000000006,58.802499999999995,452.28
3331,PDXP,138.625,weak,0.961,181.975,weak,0.956,676.317,weak,0.914,479.76300000000003,weak,0.9129999999999999,,,,,,,98.236,weak,0.889,,,,65.23,good,0.998,64.35600000000001,good,0.996,160.3,578.04,,98.236,64.793,578.04
3332,PDZD8,,,,,,,,,,,,,63.821000000000005,good,0.9740000000000001,52.0,good,0.978,127.786,weak,0.9279999999999999,,,,41.431000000000004,good,0.996,46.943000000000005,good,0.9990000000000001,,,57.9105,127.786,44.187000000000005,127.786
3333,PEA15,58.492,good,0.9179999999999999,85.553,weak,0.9990000000000001,,,,209.817,weak,0.9990000000000001,,,,,,,36.699,weak,0.9740000000000001,30.023000000000003,good,0.9670000000000001,47.643,weak,0.988,64.607,good,0.997,72.0225,209.817,,33.361000000000004,56.125,209.817
3334,PEAK1,,,,,,,,,,,,,,,,27.938000000000002,weak,0.991,,,,,,,,,,,,,,,27.938000000000002,,,27.938000000000002
3335,PEBP1,152.47799999999998,good,0.987,213.176,good,0.998,479.741,good,0.997,,,,,,,,,,,,,,,,64.57300000000001,good,0.998,79.673,good,0.9990000000000001,182.827,479.741,,,72.123,479.741
3336,PECAM1,89.675,weak,0.919,109.999,good,0.9470000000000001,118.31,weak,0.982,154.864,good,0.93,,,,,,,44.657,good,0.907,35.658,good,0.9840000000000001,,,,,,,99.83699999999999,136.587,,40.1575,,136.587
3337,PECR,459.714,weak,0.925,,,,,,,,,,221.31400000000002,good,0.978,277.964,good,0.99,,,,,,,71.546,weak,0.997,87.73899999999999,weak,0.998,459.714,,249.639,,79.6425,459.714
3338,PEF1,125.43700000000001,good,0.983,,,,346.973,weak,0.988,262.69599999999997,weak,0.993,100.241,weak,0.998,129.08100000000002,weak,0.981,96.825,weak,0.9740000000000001,85.443,weak,0.9940000000000001,56.498999999999995,good,0.995,60.766999999999996,weak,0.997,125.43700000000001,304.8345,114.661,91.134,58.632999999999996,304.8345
3339,PELO,30.084,weak,0.948,45.456,weak,0.948,,,,74.515,weak,0.907,,,,78.821,weak,0.853,70.439,weak,0.9440000000000001,42.61600000000001,good,0.98,47.832,weak,0.9990000000000001,54.248999999999995,good,0.9990000000000001,37.77,74.515,78.821,56.5275,51.040499999999994,78.821
3340,PELP1,110.775,weak,0.9079999999999999,148.158,good,0.977,333.92800000000005,weak,0.9059999999999999,,,,210.255,good,0.9,146.286,good,0.993,214.24200000000002,weak,0.924,,,,94.698,good,0.993,102.23200000000001,good,0.996,129.4665,333.92800000000005,178.2705,214.24200000000002,98.465,333.92800000000005
3341,PEO1,,,,84.837,weak,0.997,,,,,,,,,,,,,,,,,,,,,,,,,84.837,,,,,84.837
3342,PEPD,44.035,good,0.997,59.161,good,0.997,,,,260.142,good,0.9990000000000001,68.22,weak,0.99,53.897,good,0.978,43.817,good,0.9790000000000001,35.244,good,0.9840000000000001,39.806,good,0.9990000000000001,51.183,good,0.997,51.598,260.142,61.058499999999995,39.5305,45.4945,260.142
3343,PES1,40.403,good,0.986,42.412,weak,0.995,133.991,weak,0.9690000000000001,96.54799999999999,weak,0.996,39.004,good,0.98,40.8,good,0.9990000000000001,31.377,good,0.983,24.279,good,0.9940000000000001,24.895,good,0.9740000000000001,25.34,good,0.975,41.4075,115.2695,39.902,27.828,25.1175,115.2695
3344,PET112,,,,,,,,,,,,,43.797,weak,0.993,,,,,,,,,,,,,,,,,,43.797,,,43.797
3345,PEX1,34.772,weak,0.995,,,,,,,,,,60.531000000000006,good,0.9940000000000001,65.60600000000001,good,0.991,,,,,,,35.96,weak,1.0,36.45,good,1.0,34.772,,63.06850000000001,,36.205,63.06850000000001
3346,PEX10,,,,,,,,,,,,,,,,,,,,,,,,,79.158,weak,0.9209999999999999,84.988,weak,0.981,,,,,82.07300000000001,82.07300000000001
3347,PEX11B,111.303,good,0.995,134.982,good,0.9990000000000001,282.04,weak,0.9520000000000001,,,,227.454,good,0.9740000000000001,181.585,good,0.9840000000000001,,,,140.768,good,0.986,,,,60.365,good,1.0,123.1425,282.04,204.5195,140.768,60.365,282.04
3348,PEX12,85.803,weak,0.9590000000000001,,,,,,,,,,,,,,,,,,,79.255,weak,0.9329999999999999,57.643,weak,0.9390000000000001,75.795,weak,0.929,85.803,,,79.255,66.719,85.803
3349,PEX14,85.06200000000001,weak,0.983,112.62799999999999,weak,0.992,,,,,,,144.10299999999998,good,0.976,173.014,good,0.993,,,,61.442,weak,0.9470000000000001,49.692,good,0.9990000000000001,55.283,good,0.983,98.845,,158.55849999999998,61.442,52.4875,158.55849999999998
3350,PEX16,64.428,weak,0.955,87.28200000000001,weak,0.973,117.84899999999999,weak,0.998,82.405,weak,0.997,73.613,weak,0.968,85.219,good,0.981,,,,78.766,weak,0.983,42.192,weak,0.998,61.815,good,0.9990000000000001,75.855,100.127,79.416,78.766,52.0035,100.127
3351,PEX19,,,,51.5,weak,0.935,,,,,,,38.027,weak,0.981,38.435,good,0.9890000000000001,43.68,weak,0.973,,,,30.55,weak,0.998,37.351,good,0.995,51.5,,38.231,43.68,33.9505,51.5
3352,PEX3,,,,,,,,,,,,,44.321000000000005,weak,0.982,47.24100000000001,good,0.9940000000000001,,,,,,,33.997,weak,0.932,36.031,weak,0.9890000000000001,,,45.781000000000006,,35.013999999999996,45.781000000000006
3353,PEX5L,,,,,,,,,,,,,,,,,,,,,,,,,21.603,weak,0.996,35.26,good,0.9209999999999999,,,,,28.4315,28.4315
3354,PEX6,,,,,,,,,,,,,64.14,good,1.0,68.182,weak,0.9940000000000001,,,,,,,35.071,good,0.998,36.732,weak,0.995,,,66.161,,35.9015,66.161
3355,PFAS,53.621,good,0.972,74.02600000000001,good,0.992,86.785,weak,0.934,,,,,,,,,,,,,165.498,good,0.9620000000000001,144.22,good,0.988,155.122,good,0.97,63.82350000000001,86.785,,165.498,149.671,165.498
3356,PFDN1,70.11399999999999,good,0.997,85.02600000000001,good,0.9990000000000001,198.53,weak,0.998,154.618,good,0.9570000000000001,141.442,weak,0.995,102.814,weak,0.998,56.869,weak,0.986,49.656000000000006,good,0.987,50.683,good,0.997,56.86,good,0.9990000000000001,77.57,176.574,122.128,53.2625,53.7715,176.574
3357,PFDN2,62.611999999999995,good,0.9940000000000001,82.70299999999999,good,0.9940000000000001,162.263,good,0.998,119.601,good,0.998,143.734,weak,0.983,160.65,weak,0.965,68.443,weak,0.9890000000000001,58.38,good,0.993,47.562,good,0.9990000000000001,58.937,good,0.9990000000000001,72.6575,140.93200000000002,152.192,63.411500000000004,53.2495,152.192
3358,PFDN4,98.458,weak,0.9890000000000001,132.951,weak,0.9990000000000001,516.019,weak,0.972,403.973,good,0.9620000000000001,,,,248.261,weak,0.9209999999999999,136.00799999999998,good,0.972,104.999,weak,0.971,58.012,good,0.998,73.983,good,0.997,115.7045,459.996,248.261,120.50349999999999,65.9975,459.996
3359,PFDN5,64.88600000000001,good,0.997,90.78399999999999,weak,0.995,242.828,weak,0.996,168.622,weak,0.992,122.45100000000001,weak,0.9179999999999999,113.391,weak,0.922,68.851,good,0.966,58.542,weak,0.988,46.895,weak,0.993,71.85,good,1.0,77.83500000000001,205.72500000000002,117.921,63.6965,59.3725,205.72500000000002
3360,PFDN6,67.485,weak,0.995,131.745,weak,0.847,263.19,weak,0.9740000000000001,,,,95.24600000000001,weak,0.991,83.664,weak,0.991,84.677,weak,0.982,71.168,weak,0.996,56.271,good,0.9940000000000001,70.382,good,0.9990000000000001,99.61500000000001,263.19,89.45500000000001,77.92250000000001,63.3265,263.19
3361,PFKFB2,,,,114.41799999999999,weak,0.907,,,,,,,,,,,,,,,,,,,38.507,weak,0.998,49.138999999999996,good,0.996,114.41799999999999,,,,43.82299999999999,114.41799999999999
3362,PFKFB3,,,,,,,,,,,,,,,,,,,,,,23.553,weak,0.983,,,,,,,,,,23.553,,23.553
3363,PFKL,160.656,good,0.9740000000000001,228.56900000000002,good,0.988,562.457,good,0.9990000000000001,341.49300000000005,good,0.887,,,,,,,126.87100000000001,good,0.988,103.77799999999999,good,0.985,59.343999999999994,weak,0.995,71.214,good,0.9990000000000001,194.6125,451.975,,115.3245,65.279,451.975
3364,PFKM,46.041000000000004,good,0.8690000000000001,73.782,good,0.9940000000000001,,,,,,,,,,,,,210.56900000000002,weak,0.904,146.885,weak,0.9620000000000001,49.672,good,0.996,62.445,good,0.996,59.911500000000004,,,178.727,56.058499999999995,178.727
3365,PFKP,117.012,good,0.955,146.15,good,0.998,,,,,,,,,,,,,,,,181.035,good,0.981,37.033,weak,0.982,50.208999999999996,good,0.9990000000000001,131.58100000000002,,,181.035,43.620999999999995,181.035
3366,PFN1,159.851,good,0.9590000000000001,232.928,good,0.9890000000000001,834.7769999999999,good,0.9990000000000001,679.0189999999999,good,0.9259999999999999,263.481,good,0.98,348.62800000000004,good,0.975,177.50400000000002,good,0.991,138.67700000000002,good,0.987,68.744,good,1.0,77.6,good,0.9990000000000001,196.3895,756.8979999999999,306.0545,158.09050000000002,73.172,756.8979999999999
3367,PFN2,,,,116.87299999999999,weak,0.9,,,,,,,,,,,,,,,,,,,57.202,good,0.998,70.487,good,1.0,116.87299999999999,,,,63.8445,116.87299999999999
3368,PGAM1,125.29299999999999,good,0.976,177.1,good,0.993,493.344,good,0.982,442.281,good,0.9790000000000001,338.48199999999997,good,0.9059999999999999,351.199,good,0.988,227.834,good,0.976,226.554,good,0.9690000000000001,60.516000000000005,good,0.998,76.622,good,0.997,151.1965,467.8125,344.8405,227.19400000000002,68.569,467.8125
3369,PGAM5,81.497,weak,0.9620000000000001,77.362,good,0.997,218.57299999999998,weak,0.96,386.44599999999997,weak,0.982,277.9,good,1.0,220.92700000000002,good,1.0,135.905,good,0.973,89.389,weak,0.9690000000000001,84.2,good,0.995,90.755,good,0.997,79.42949999999999,302.5095,249.4135,112.64699999999999,87.47749999999999,302.5095
3370,PGD,78.225,good,0.978,95.73700000000001,good,0.995,1028.616,good,0.998,398.296,good,0.9940000000000001,,,,,,,71.124,good,0.995,79.37100000000001,good,0.991,75.834,good,1.0,88.473,good,0.9990000000000001,86.981,713.456,,75.2475,82.15350000000001,713.456
3371,PGGT1B,101.04,weak,0.8809999999999999,127.87100000000001,weak,0.981,,,,,,,,,,,,,,,,65.179,weak,0.9940000000000001,,,,,,,114.4555,,,65.179,,114.4555
3372,PGK1,191.416,good,0.978,249.208,good,0.998,771.6410000000001,good,0.998,607.566,good,1.0,755.909,good,0.98,,,,221.763,good,0.988,179.048,good,0.978,73.628,good,0.998,84.325,good,1.0,220.312,689.6035,755.909,200.40550000000002,78.9765,755.909
3373,PGK2,239.768,weak,1.0,,,,,,,,,,,,,,,,137.47,weak,0.9359999999999999,226.136,good,0.995,,,,,,,239.768,,,181.803,,239.768
3374,PGLS,136.655,weak,0.9690000000000001,194.44099999999997,good,0.99,600.052,good,0.9990000000000001,483.85,good,0.998,254.111,weak,0.914,,,,138.472,weak,0.9740000000000001,119.62200000000001,weak,0.9670000000000001,89.84299999999999,good,0.991,122.414,good,0.9990000000000001,165.548,541.951,254.111,129.04700000000003,106.1285,541.951
3375,PGM1,165.64700000000002,good,0.98,247.275,good,0.9940000000000001,,,,586.013,good,0.997,,,,,,,634.177,good,0.977,419.49800000000005,good,0.965,65.361,good,0.991,100.441,good,0.9990000000000001,206.461,586.013,,526.8375000000001,82.90100000000001,586.013
3376,PGM2,559.332,good,0.975,704.7080000000001,good,0.987,,,,1919.634,good,0.996,,,,,,,212.75099999999998,good,0.986,201.905,good,0.987,,,,,,,632.02,1919.634,,207.32799999999997,,1919.634
3377,PGM2L1,202.291,weak,0.9470000000000001,177.021,weak,0.98,,,,162.17700000000002,weak,0.993,,,,,,,132.438,weak,0.981,91.227,weak,0.976,22.524,good,0.9990000000000001,24.97,good,1.0,189.656,162.17700000000002,,111.8325,23.747,189.656
3378,PGM3,,,,105.304,weak,0.935,,,,,,,,,,,,,59.88399999999999,weak,0.938,49.489,weak,0.973,70.163,good,0.982,101.26799999999999,good,0.9990000000000001,105.304,,,54.686499999999995,85.71549999999999,105.304
3379,PGP,97.81299999999999,weak,0.912,,,,,,,388.54,weak,0.914,,,,,,,157.009,weak,0.988,130.893,weak,0.966,55.818000000000005,good,0.98,63.746,good,1.0,97.81299999999999,388.54,,143.951,59.782000000000004,388.54
3380,PGRMC1,129.909,weak,0.965,155.439,weak,0.9470000000000001,356.416,weak,0.94,222.794,weak,0.938,264.881,good,0.97,284.664,good,0.985,128.821,weak,0.995,77.548,weak,0.9790000000000001,61.202,good,0.996,62.648999999999994,good,0.998,142.67399999999998,289.605,274.7725,103.1845,61.9255,289.605
3381,PGRMC2,266.228,good,0.978,270.41200000000003,weak,0.996,409.782,weak,0.98,245.48,weak,0.897,236.84099999999998,good,0.938,134.476,good,0.894,141.528,weak,0.995,93.4,weak,0.982,52.726000000000006,good,0.9990000000000001,62.232,good,0.9990000000000001,268.32000000000005,327.631,185.6585,117.464,57.479,327.631
3382,PGS1,,,,,,,,,,,,,,,,,,,,,,33630.619,weak,0.9329999999999999,64.305,good,0.992,66.399,good,0.996,,,,33630.619,65.352,33630.619
3383,PHACTR2,,,,,,,,,,,,,,,,,,,111.64200000000001,weak,0.94,109.76700000000001,weak,1.0,,,,,,,,,,110.70450000000001,,110.70450000000001
3384,PHAX,,,,,,,,,,,,,20.883000000000003,weak,0.9790000000000001,21.699,weak,0.973,28.826,weak,0.98,,,,,,,26.340999999999998,weak,0.981,,,21.291000000000004,28.826,26.340999999999998,28.826
3385,PHB,241.40400000000002,good,0.983,286.64,good,0.998,829.885,good,0.996,695.752,good,0.998,284.406,good,0.9990000000000001,268.894,good,0.997,232.896,good,0.975,163.745,good,0.966,125.31299999999999,good,0.9990000000000001,149.047,good,0.998,264.022,762.8185,276.65,198.32049999999998,137.18,762.8185
3386,PHB2,269.616,good,0.9840000000000001,303.688,good,0.9990000000000001,981.426,good,0.987,827.202,good,0.993,306.006,good,0.996,283.291,good,0.993,261.509,good,0.972,174.382,good,0.963,127.917,good,0.9990000000000001,145.781,good,0.997,286.652,904.3140000000001,294.6485,217.9455,136.849,904.3140000000001
3387,PHC3,61.163000000000004,weak,0.948,83.73700000000001,weak,0.975,71.27600000000001,weak,0.9640000000000001,66.138,weak,0.915,,,,,,,,,,,,,25.291999999999998,weak,1.0,24.767,weak,0.996,72.45,68.70700000000001,,,25.0295,72.45
3388,PHF1,190.55900000000003,weak,0.9840000000000001,,,,169.808,weak,0.9259999999999999,,,,,,,,,,,,,,,,,,,,,,190.55900000000003,169.808,,,,190.55900000000003
3389,PHF10,,,,95.086,weak,0.975,112.21600000000001,weak,0.91,,,,,,,,,,,,,,,,34.503,weak,0.99,34.760999999999996,weak,0.992,95.086,112.21600000000001,,,34.632,112.21600000000001
3390,PHF11,,,,,,,,,,68.85300000000001,weak,0.998,,,,,,,38.211,weak,0.99,,,,,,,,,,,68.85300000000001,,38.211,,68.85300000000001
3391,PHF12,46.023999999999994,weak,0.99,43.951,weak,0.998,,,,36.259,weak,0.938,,,,,,,,,,,,,26.323,weak,0.965,30.6,weak,0.9790000000000001,44.9875,36.259,,,28.4615,44.9875
